id,name,party,sector,country,type
lk,Lars Klingbeil,SPD,Politik,Deutschland,1
ul,Ursula von der Leyen,CDU,Politik,Deutschland,1
nr,Norbert Röttgen,CDU,Politik,Deutschland,1
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland,1
cl,Christian Lindner,FDP,Politik,Deutschland,1
ab,Annalena Baerbock,Die Grünen,Politik,Deutschland,1
al,Alexander Graf Lambsdorff ,FDP,Politik,Deutschland,1
rh,Robert Habeck,Die Grünen,Politik,Deutschland,1
rk,Roderich Kiesewetter,CDU,Politik ,,
cs,Constanze Stelzemüller,,Jurist,Deutschland,1
lm,Ljudmyla Melnyk,,Wissenschaft,Deutschland,2
kd,Kristina Dunz,,Redaktion,Deutschland,1
ft,Frans Timmermans,,Europäische Kommission,Deutschland,2
am,Andrij Melnyk,,Botschafter ,Ukraine,1
